id,base_id,base_addresses,addresses
08f2a100d8654204037ff5b80140ed5d,562949963912237,"[{""freeform"":""1320 Fulton St."",""locality"":""Brooklyn"",""region"":""NY"",""country"":""US"",""postcode"":""11216""}]","[{""freeform"":""1320 Fulton St"",""locality"":""Brooklyn"",""postcode"":""11216-2101"",""region"":""NY"",""country"":""US""}]"
08f1ea4c402c36690356e3ca028ae6f9,1125899910260202,"[{""freeform"":""Via Navene Vecchia, 135"",""locality"":""Malcesine"",""region"":""VR"",""country"":""IT"",""postcode"":""37018""}]","[{""freeform"":""Via Navene Vecchia, 135"",""locality"":""Malcesine"",""postcode"":""37018"",""region"":""34"",""country"":""IT""}]"
08f2e614569a86580306294dc87fd829,08f2e614569ab00003e1b072e293ad1b,"[{""freeform"":""京都府京都市上京区京都御苑３"",""locality"":""京都市上京区"",""postcode"":""602-0881"",""country"":""JP""}]","[{""freeform"":""京都市上京区京都御苑3 (3Kyotogyoen, Kamigyo Ward, Kyoto)nn"",""locality"":""Kyoto-shi"",""region"":""26"",""country"":""JP""}]"
08f274864eb8c0f30307c49f06635d20,1970324838811072,"[{""freeform"":""633 W Michigan Ave"",""locality"":""Kalamazoo"",""region"":""MI"",""country"":""US"",""postcode"":""49007""}]","[{""freeform"":""633 W Michigan Ave"",""locality"":""Kalamazoo"",""postcode"":""49007-3715"",""region"":""MI"",""country"":""US""}]"
08f1f916e27045180352f04913bc42cc,08f1f916e27154190345b56b0486a3a7,"[{""freeform"":""1 Place de Genève"",""locality"":""Chambéry"",""postcode"":""73000"",""country"":""FR""}]","[{""freeform"":""11 Rue Doppet"",""postcode"":""73000"",""country"":""FR""}]"
1407374885598016,562949964604094,"[{""freeform"":""1435 W River Rd"",""locality"":""Tucson"",""region"":""AZ"",""country"":""US"",""postcode"":""85704""}]","[{""freeform"":""1435 W River Rd"",""locality"":""Tucson"",""region"":""AZ"",""country"":""US"",""postcode"":""85704""}]"
08f44a18511700c5039a1e230fdc197c,1407374890168896,"[{""freeform"":""12520 SW 88th St"",""locality"":""Miami"",""region"":""FL"",""country"":""US"",""postcode"":""33186""}]","[{""freeform"":""12520 SW 88th St"",""locality"":""Miami"",""postcode"":""33186-1817"",""region"":""FL"",""country"":""US""}]"
08f446c24248389c03f8f8dbd8576f9f,562949963667295,"[{""freeform"":""25415 Interstate 45, Ste D"",""locality"":""Spring"",""region"":""TX"",""country"":""US"",""postcode"":""77380""}]","[{""freeform"":""25415 Interstate 45"",""locality"":""Spring"",""postcode"":""77380-3504"",""region"":""TX"",""country"":""US""}]"
08f3da11a880352a03e1b552a441aa16,08f3da11a881c3a4036450111f6f44b4,"[{""freeform"":""SIGNATURE TOWER, crossing, Delhi - Jaipur Expy"",""postcode"":""122001"",""country"":""IN""}]","[{""freeform"":""Signature Tower Crossing, Near Star Mall, Main, Delhi - Jaipur Expy, Sector 30, Gurugram, Haryana 122001"",""locality"":""Gurugram"",""postcode"":""122001"",""country"":""IN""}]"
08f1e33450db537303a4d343dac8ccdc,844424934132353,"[{""freeform"":""Kurhausstraße 9, Bad Zell"",""locality"":""Bad Zell"",""region"":"""",""country"":""AT"",""postcode"":""4283""}]","[{""freeform"":""Kurhotel Bad Zell, Kurhausstraße 9"",""locality"":""Bad Zell"",""postcode"":""4283"",""region"":""4"",""country"":""AT""}]"
1125899911221207,1970324838744829,"[{""freeform"":""2810 London Groveport Rd"",""locality"":""Grove City"",""region"":""OH"",""country"":""US"",""postcode"":""43123""}]","[{""freeform"":""2810 London Groveport Rd"",""locality"":""Grove City"",""region"":""OH"",""country"":""US"",""postcode"":""43123""}]"
08f2af62655ad02303c1c002aed33a25,1407374888662920,"[{""freeform"":""3300 Princess Anne Rd Ste 739"",""locality"":""Virginia Beach"",""region"":""VA"",""country"":""US"",""postcode"":""23456""}]","[{""freeform"":""3300 Princess Anne Rd"",""locality"":""Virginia Beach"",""postcode"":""23456-2603"",""region"":""VA"",""country"":""US""}]"
08f2664c9939219403dbde16d5780a75,844424930437611,"[{""freeform"":""6749 Ogden Ave"",""locality"":""Berwyn"",""region"":""IL"",""country"":""US"",""postcode"":""60402""}]","[{""freeform"":""6749 Ogden Ave"",""locality"":""Berwyn"",""postcode"":""60402-3604"",""region"":""IL"",""country"":""US""}]"
08f269614b65270a03cda656d6a2aa1f,2251799819345911,"[{""freeform"":""2550 S Decker lake Blvd Ste 1"",""locality"":""Salt Lake City"",""region"":""UT"",""country"":""US"",""postcode"":""84119""}]","[{""freeform"":""2550 S Decker Lake Blvd"",""locality"":""West Valley City"",""postcode"":""84119-2066"",""region"":""UT"",""country"":""US""}]"
08f1f2d6b121bae9037c5aa065d85015,1688849866346166,"[{""freeform"":""Malmbrogatan 14"",""locality"":""Kalmar"",""region"":""Kalmar län"",""country"":""SE"",""postcode"":""392 35""}]","[{""freeform"":""Malmbrogatan 14"",""postcode"":""392 35"",""country"":""SE""}]"
281474977374045,844424931551851,"[{""freeform"":""52 Daniel Webster Hwy"",""locality"":""Merrimack"",""region"":""NH"",""country"":""US"",""postcode"":""03054""}]","[{""freeform"":""52 Daniel Webster Hwy"",""locality"":""Merrimack"",""region"":""NH"",""country"":""US"",""postcode"":""03054""}]"
08f2a101ab4a4d6603318d4b9c6dea88,1970324839219910,"[{""freeform"":""668 Tuckahoe Rd"",""locality"":""Yonkers"",""region"":""NY"",""country"":""US"",""postcode"":""10710""}]","[{""freeform"":""668 Tuckahoe Rd"",""locality"":""Yonkers"",""postcode"":""10710-5705"",""region"":""NY"",""country"":""US""}]"
1407374891495088,562949956622481,"[{""freeform"":""Kennedy Centre, Falls Road, Unit 28"",""locality"":""Belfast"",""region"":"""",""country"":""GB"",""postcode"":""BT11 9AE""}]","[{""freeform"":""Unit 28, Kennedy Centre, Falls Road"",""locality"":""Belfast"",""region"":"""",""country"":""GB"",""postcode"":""BT11 9AE""}]"
1125899909415294,1407374887700826,"[{""freeform"":""945 Gardiners Road"",""locality"":""Kingston"",""region"":""ON"",""country"":""CA"",""postcode"":""K7M 7H4""}]","[{""freeform"":""945 Gardiners Rd"",""locality"":""Kingston"",""region"":""ON"",""country"":""CA"",""postcode"":""K7M 7H4""}]"
08f1e9a009660cb00355eadd4822414d,2251799821009277,"[{""freeform"":""Via Ugo La Malfa 7"",""locality"":""Palermo"",""region"":""PA"",""country"":""IT"",""postcode"":""90134""}]","[{""freeform"":""Via Ugo La Malfa, 7"",""locality"":""Palermo"",""postcode"":""90146"",""region"":""82"",""country"":""IT""}]"
2251799821514759,844424932099356,"[{""freeform"":""3701 State Route 88"",""locality"":""Finleyville"",""region"":""PA"",""country"":""US"",""postcode"":""15332""}]","[{""freeform"":""3701 State Route 88"",""locality"":""Finleyville"",""region"":""PA"",""country"":""US"",""postcode"":""15332""}]"
08f28d1aacab0c5503f03bc3cacd7057,281474977479849,"[{""freeform"":""760-B Yates St"",""locality"":""Victoria"",""region"":""BC"",""country"":""CA"",""postcode"":""V8W 1L4""}]","[{""freeform"":""760 Yates St"",""locality"":""Victoria"",""postcode"":""V8W 1L4"",""region"":""BC"",""country"":""CA""}]"
