id,base_id,categories,base_categories
08f1f02063cd996b03253b5a992c8fbc,562949962215382,"{""primary"":""it_service_and_computer_repair"",""alternate"":[""software_development"",""internet_service_provider""]}","{""primary"":""computer_store"",""alternate"":[""information_technology_company"",""software_development"",""business_to_business_services"",""business_to_business"",""retail""]}"
08f2a13505571adc03d6ac7c08745d28,1125899912398303,"{""primary"":""lawyer"",""alternate"":[""legal_services"",""shopping""]}","{""primary"":""personal_injury_law""}"
08f12db7756486da03e71a795e1b150a,281474980481123,"{""primary"":""professional_services"",""alternate"":[""engineering_services""]}","{""primary"":""landscape_architect"",""alternate"":[""marketing_consultant"",""consultant_and_general_service"",""landscaping"",""business_consulting"",""business_advertising"",""business_to_business_services"",""business_to_business""]}"
08f2a30c5954d37503e2262ea4b83745,1125899906946336,"{""primary"":""pharmacy"",""alternate"":[""medical_supply"",""shopping""]}","{""primary"":""online_shop"",""alternate"":[""pharmacy"",""drugstore"",""corporate_office"",""private_establishments_and_corporates"",""retail""]}"
08f29a199eaf25a603a95d490f36ddce,1125899910310972,"{""primary"":""beauty_salon"",""alternate"":[""hair_salon"",""screen_printing_t_shirt_printing""]}","{""primary"":""kids_hair_salon"",""alternate"":[""hair_salon"",""beauty_and_spa""]}"
08f29a5792d46a5d0335edaa218f3095,1407374885860410,"{""primary"":""landmark_and_historical_building"",""alternate"":[""accommodation""]}","{""primary"":""rental_services"",""alternate"":[""apartments"",""real_estate_service""]}"
08f2a930f0835c9d039f113beff6647f,1407374889501649,"{""primary"":""community_services_non_profits"",""alternate"":[""social_service_organizations""]}","{""primary"":""organization"",""alternate"":[""chambers_of_commerce""]}"
08f266dad34a453403895be31ff7113a,562949964741889,"{""primary"":""plastic_surgeon"",""alternate"":[""doctor"",""health_and_medical""]}","{""primary"":""medical_spa"",""alternate"":[""plastic_surgeon"",""surgeon"",""doctor"",""medical_center"",""spas"",""beauty_and_spa"",""health_and_medical""]}"
08f2640d0e5ae55d03f4bf0c75e365cd,1970324841284526,"{""primary"":""painting""}","{""primary"":""paint_store"",""alternate"":[""retail""]}"
08f2a336124e17040373939b45bed74c,562949958464804,"{""primary"":""italian_restaurant"",""alternate"":[""pizza_restaurant"",""restaurant""]}","{""primary"":""pizza_restaurant"",""alternate"":[""food"",""restaurant""]}"
08f2a9290631c954031301f85d19a34a,1407374886707093,"{""primary"":""banks"",""alternate"":[""bank_credit_union"",""atms""]}","{""primary"":""bank_credit_union""}"
08f1faea1a769db403fc9ae26e222fa5,1407374886536367,"{""primary"":""professional_services"",""alternate"":[""event_photography""]}","{""primary"":""session_photography"",""alternate"":[""gift_shop"",""business_management_services"",""photography_store_and_services"",""consultant_and_general_service"",""business_to_business_services"",""business_to_business"",""retail""]}"
08f44d075801305e03fe2c0f3f1ad2d8,1407374886193582,"{""primary"":""hospital"",""alternate"":[""doctor"",""family_practice""]}","{""primary"":""health_and_medical""}"
08fbee249bdb0db4032948c20a85120c,08fbee249bdb298e036305a04eab4b75,"{""primary"":""agricultural_service"",""alternate"":[""plumbing"",""water_supplier""]}","{""primary"":""industrial_equipment"",""alternate"":[""commercial_industrial"",""industrial_company""]}"
281474980655201,562949963778585,"{""primary"":""hair_salon"",""alternate"":[""nail_salon"",""hvac_services"",""plumbing"",""spas"",""beauty_and_spa""]}","{""primary"":""hvac_services"",""alternate"":[""plumbing""]}"
08f390cb1b4015a203636d915a9d5abe,562949964422451,"{""primary"":""restaurant"",""alternate"":[""spanish_restaurant"",""tapas_bar""]}","{""primary"":""mediterranean_restaurant"",""alternate"":[""tapas_bar"",""food"",""restaurant""]}"
08f1eb5ba8ba504603b783a90e1e34e9,562949966377071,"{""primary"":""automotive_parts_and_accessories"",""alternate"":[""automotive_repair"",""automotive""]}","{""primary"":""auto_parts_and_supply_store"",""alternate"":[""automotive"",""retail""]}"
08f441ac6c684a2b03149e412abd3737,562949961390703,"{""primary"":""contractor"",""alternate"":[""paving_contractor""]}","{""primary"":""recycling_center""}"
08f268cd03d718c3039c459f8ecb4544,562949961802187,"{""primary"":""pizza_restaurant"",""alternate"":[""restaurant"",""fast_food_restaurant""]}","{""primary"":""fast_food_restaurant"",""alternate"":[""pizza_restaurant"",""food"",""restaurant""]}"
08f1955d81619a8803fe1b049d874c96,1407374891517348,"{""primary"":""financial_service"",""alternate"":[""mortgage_broker"",""professional_services""]}","{""primary"":""mortgage_broker""}"
08f1f89088c19c710309bbdd9cc585f8,2251799819270438,"{""primary"":""hotel"",""alternate"":[""travel_company"",""accommodation""]}","{""primary"":""resort"",""alternate"":[""hotel"",""lodge""]}"
08f29a41a556ca9a030dccaefe2a687b,281474978286624,"{""primary"":""fast_food_restaurant"",""alternate"":[""burger_restaurant"",""restaurant""]}","{""primary"":""taco_restaurant"",""alternate"":[""burger_restaurant"",""fast_food_restaurant"",""mexican_restaurant"",""sandwich_shop"",""restaurant""]}"
08f2a1072c13201003d56e737f5a64a5,1125899910853966,"{""primary"":""furniture_store""}","{""primary"":""antique_store"",""alternate"":[""retail""]}"
08f29a1884aa5d000318a4297f62c936,1688849863078185,"{""primary"":""banks"",""alternate"":[""bank_credit_union"",""financial_service""]}","{""primary"":""bank_credit_union""}"
08f2f5a300b04c580376f699579ff69c,562949964687863,"{""primary"":""outdoor_gear"",""alternate"":[""sporting_goods""]}","{""primary"":""sports_wear"",""alternate"":[""retail""]}"
08f195c2b6063c89030a9ac1d6daafc7,1407374886878848,"{""primary"":""it_service_and_computer_repair"",""alternate"":[""computer_store"",""computer_hardware_company""]}","{""primary"":""computer_wholesaler"",""alternate"":[""wholesaler"",""computer_store"",""information_technology_company"",""it_service_and_computer_repair"",""business_equipment_and_supply"",""business_to_business_services"",""business_to_business"",""retail""]}"
08f392d880d830180310e07d614710a5,281474980819958,"{""primary"":""hostel"",""alternate"":[""hotel"",""amusement_park""]}","{""primary"":""amusement_park"",""alternate"":[""travel""]}"
08f265d681c335a103bad6b2d6152105,1688849863431069,"{""primary"":""car_dealer"",""alternate"":[""professional_services""]}","{""primary"":""used_car_dealer"",""alternate"":[""automotive""]}"
08f1e8374858e368033f10fc41b9e7f8,1125899910029070,"{""primary"":""cinema"",""alternate"":[""drive_in_theater"",""attractions_and_activities""]}","{""primary"":""drive_in_theater"",""alternate"":[""fair"",""cinema"",""festival"",""arts_and_entertainment""]}"
08f1fa465b483c7103d703a6c389d372,1407374891305332,"{""primary"":""mobile_phone_store"",""alternate"":[""telecommunications_company"",""appliance_manufacturer""]}","{""primary"":""building_supply_store"",""alternate"":[""telecommunications"",""process_servers"",""mobile_phone_store"",""pipeline_transportation"",""auto_electrical_repair"",""building_contractor"",""electrician"",""utility_service"",""it_service_and_computer_repair"",""television_station"",""business_equipment_and_supply"",""business_storage_and_transportation"",""automotive"",""mass_media"",""business_to_business"",""retail""]}"
08f2a8ba61b4bd9a037c89dcd6617950,1407374885136262,"{""primary"":""escape_rooms"",""alternate"":[""arts_and_entertainment"",""event_planning""]}","{""primary"":""team_building_activity"",""alternate"":[""fair"",""escape_rooms"",""festival"",""arts_and_entertainment""]}"
08f2a346131025a103c49945e98beab6,1688849862840864,"{""primary"":""fast_food_restaurant"",""alternate"":[""burger_restaurant"",""breakfast_and_brunch_restaurant""]}","{""primary"":""burger_restaurant"",""alternate"":[""fast_food_restaurant"",""restaurant""]}"
08f2aac22b2ad5a4030cd86c18d3c250,562949964061493,"{""primary"":""bowling_alley"",""alternate"":[""arcade"",""sports_and_recreation_venue""]}","{""primary"":""fair"",""alternate"":[""bowling_alley"",""laser_tag"",""arcade"",""festival"",""active_life"",""arts_and_entertainment""]}"
1407374885201144,1407374885272353,"{""primary"":""department_store"",""alternate"":[""retail""]}","{""primary"":""restaurant""}"
08fbe8d81286d794032c375b025f9b00,1407374886834264,"{""primary"":""audiologist"",""alternate"":[""doctor"",""health_and_medical""]}","{""primary"":""hearing_aids"",""alternate"":[""audiologist"",""medical_supply"",""doctor"",""health_and_medical"",""retail""]}"
08f44ccd92c5958803fcf9fe5c63618c,281474977909363,"{""primary"":""automotive_repair"",""alternate"":[""car_dealer"",""automotive_dealer""]}","{""primary"":""brake_service_and_repair"",""alternate"":[""automotive""]}"
08f2a9560235585103d35ec2f4513b74,844424934140957,"{""primary"":""car_rental_agency"",""alternate"":[""truck_rentals""]}","{""primary"":""travel""}"
08f29a4018a454c403d3e547067a3d3b,1407374886093658,"{""primary"":""hospital"",""alternate"":[""health_and_medical"",""diagnostic_services""]}","{""primary"":""diagnostic_imaging"",""alternate"":[""health_and_medical""]}"
08f274e2c50a00ae0386ed65974359d1,1407374887310867,"{""primary"":""hotel"",""alternate"":[""bed_and_breakfast"",""accommodation""]}","{""primary"":""bed_and_breakfast"",""alternate"":[""hotel"",""inn"",""motel""]}"
08f283474cd5d0060371a4d2dc07ced8,562949953674175,"{""primary"":""lawyer"",""alternate"":[""immigration_law""]}","{""primary"":""immigration_law""}"
08f1faad040705a503524f8b3f8ed78a,08f1faad04070d85036379ad2c9a82d3,"{""primary"":""restaurant""}","{""primary"":""sushi_restaurant"",""alternate"":[""food_beverage_service_distribution"",""delicatessen""]}"
08f44d84a989b2e803c03a9c9954a385,562949960132575,"{""primary"":""men's_clothing_store"",""alternate"":[""women's_clothing_store"",""department_store""]}","{""primary"":""outdoor_gear"",""alternate"":[""clothing_store"",""department_store"",""retail""]}"
08f446ca680a1869030a4ea331750302,281474976949589,"{""primary"":""tire_dealer_and_repair"",""alternate"":[""automotive_dealer"",""automotive""]}","{""primary"":""tire_shop"",""alternate"":[""wheel_and_rim_repair"",""automotive"",""retail""]}"
08f26c866888838503899ce333500e26,562949965628578,"{""primary"":""lawyer"",""alternate"":[""personal_injury_law"",""criminal_defense_law""]}","{""primary"":""general_litigation"",""alternate"":[""personal_injury_law""]}"
08f194e6e9552d2b03d67ae015440155,281474978847584,"{""primary"":""restaurant"",""alternate"":[""bar"",""fast_food_restaurant""]}","{""primary"":""british_restaurant"",""alternate"":[""restaurant""]}"
08f288259d65b0d0031b6f0b0bda6517,1125899909263810,"{""primary"":""hotel"",""alternate"":[""bed_and_breakfast"",""accommodation""]}","{""primary"":""bed_and_breakfast"",""alternate"":[""resort"",""hotel"",""inn"",""motel""]}"
